Klagenfurt_Graz						
genus	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
unknown_A4b	0	NA	NA	NA	NA	NA
unknown_Absconditabacteriales (SR1)	0	NA	NA	NA	NA	NA
unknown_Acetobacteraceae	0	NA	NA	NA	NA	NA
unknown_Acidobacteriales	0	NA	NA	NA	NA	NA
unknown_AKYH767	0	NA	NA	NA	NA	NA
unknown_Alphaproteobacteria	0	NA	NA	NA	NA	NA
unknown_Anaerolineaceae	0	NA	NA	NA	NA	NA
unknown_Babeliales	0	NA	NA	NA	NA	NA
unknown_Bacilli	0	NA	NA	NA	NA	NA
unknown_bacteriap25	0	NA	NA	NA	NA	NA
unknown_BD2-11 terrestrial group	0	NA	NA	NA	NA	NA
unknown_Beijerinckiaceae	0	NA	NA	NA	NA	NA
unknown_BRC1	0	NA	NA	NA	NA	NA
unknown_Caenarcaniphilales	0	NA	NA	NA	NA	NA
unknown_Candidatus Abawacabacteria	0	NA	NA	NA	NA	NA
unknown_Candidatus Gottesmanbacteria	0	NA	NA	NA	NA	NA
unknown_Caulobacteraceae	0	NA	NA	NA	NA	NA
unknown_Chitinophagaceae	0	NA	NA	NA	NA	NA
unknown_Chitinophagales	0	NA	NA	NA	NA	NA
unknown_Chloroplast	0	NA	NA	NA	NA	NA
unknown_Chroococcidiopsaceae	0	NA	NA	NA	NA	NA
unknown_Clostridiales	0	NA	NA	NA	NA	NA
unknown_Clostridiales vadinBB60 group	0	NA	NA	NA	NA	NA
unknown_Corynebacteriales	0	NA	NA	NA	NA	NA
unknown_Elsterales	0	NA	NA	NA	NA	NA
unknown_Enterococcaceae	0	NA	NA	NA	NA	NA
unknown_FBP	0	NA	NA	NA	NA	NA
unknown_Frankiales	0	NA	NA	NA	NA	NA
unknown_Gallionellaceae	0	NA	NA	NA	NA	NA
unknown_Gammaproteobacteria	0	NA	NA	NA	NA	NA
unknown_Gammaproteobacteria Incertae Sedis	0	NA	NA	NA	NA	NA
unknown_Gastranaerophilales	0	NA	NA	NA	NA	NA
unknown_Gemmataceae	0	NA	NA	NA	NA	NA
unknown_Gemmatimonadaceae	0	NA	NA	NA	NA	NA
unknown_Geodermatophilaceae	0	NA	NA	NA	NA	NA
unknown_Holosporaceae	0	NA	NA	NA	NA	NA
unknown_Intrasporangiaceae	0	NA	NA	NA	NA	NA
unknown_JG30-KF-CM45	0	NA	NA	NA	NA	NA
unknown_JG30-KF-CM66	0	NA	NA	NA	NA	NA
unknown_Ktedonobacteraceae	0	NA	NA	NA	NA	NA
unknown_Lachnospiraceae	0	NA	NA	NA	NA	NA
unknown_Lineage IV	0	NA	NA	NA	NA	NA
unknown_Methylophilaceae	0	NA	NA	NA	NA	NA
unknown_Micavibrionales	0	NA	NA	NA	NA	NA
unknown_Microbacteriaceae	0	NA	NA	NA	NA	NA
unknown_Micrococcaceae	0	NA	NA	NA	NA	NA
unknown_Micrococcales	0	NA	NA	NA	NA	NA
unknown_Micromonosporaceae	0	NA	NA	NA	NA	NA
unknown_Micropepsaceae	0	NA	NA	NA	NA	NA
unknown_mle1-27	0	NA	NA	NA	NA	NA
unknown_Mollicutes RF39	0	NA	NA	NA	NA	NA
unknown_MVP-88	0	NA	NA	NA	NA	NA
unknown_Myxococcales	0	NA	NA	NA	NA	NA
unknown_Neisseriaceae	0	NA	NA	NA	NA	NA
unknown_Nitrosomonadaceae	0	NA	NA	NA	NA	NA
unknown_Obscuribacterales	0	NA	NA	NA	NA	NA
unknown_OLB14	0	NA	NA	NA	NA	NA
unknown_Oligoflexaceae	0	NA	NA	NA	NA	NA
unknown_OM190	0	NA	NA	NA	NA	NA
unknown_Omnitrophicaeota	0	NA	NA	NA	NA	NA
unknown_OPB56	0	NA	NA	NA	NA	NA
unknown_Paracaedibacteraceae	0	NA	NA	NA	NA	NA
unknown_Parcubacteria	0	NA	NA	NA	NA	NA
unknown_PB19	0	NA	NA	NA	NA	NA
unknown_Pedosphaeraceae	0	NA	NA	NA	NA	NA
unknown_Phaseolus acutifolius (tepary bean)	0	NA	NA	NA	NA	NA
unknown_Planctomycetales	0	NA	NA	NA	NA	NA
unknown_Polyangiaceae	0	NA	NA	NA	NA	NA
unknown_Prevotellaceae	0	NA	NA	NA	NA	NA
unknown_Propionibacteriaceae	0	NA	NA	NA	NA	NA
unknown_Rhizobiaceae	0	NA	NA	NA	NA	NA
unknown_Rhizobiales Incertae Sedis	0	NA	NA	NA	NA	NA
unknown_Rhodanobacteraceae	0	NA	NA	NA	NA	NA
unknown_Rhodobacteraceae	0	NA	NA	NA	NA	NA
unknown_Rhodocyclaceae	0	NA	NA	NA	NA	NA
unknown_Rhodospirillaceae	0	NA	NA	NA	NA	NA
unknown_Rhodospirillales	0	NA	NA	NA	NA	NA
unknown_Ruminococcaceae	0	NA	NA	NA	NA	NA
unknown_SM2D12	0	NA	NA	NA	NA	NA
unknown_Solimonadaceae	0	NA	NA	NA	NA	NA
unknown_Sphingomonadaceae	0	NA	NA	NA	NA	NA
unknown_Staphylococcaceae	0	NA	NA	NA	NA	NA
unknown_Subgroup 17	0	NA	NA	NA	NA	NA
unknown_Subgroup 6	0	NA	NA	NA	NA	NA
unknown_Subgroup 7	0	NA	NA	NA	NA	NA
unknown_Thalassobaculales	0	NA	NA	NA	NA	NA
unknown_Thermodesulfovibrionia	0	NA	NA	NA	NA	NA
unknown_Triticum aestivum (bread wheat)	0	NA	NA	NA	NA	NA
unknown_UBA12409	0	NA	NA	NA	NA	NA
unknown_Veillonellaceae	0	NA	NA	NA	NA	NA
unknown_WD260	0	NA	NA	NA	NA	NA
unknown_Weeksellaceae	0	NA	NA	NA	NA	NA
unknown_WPS-2	0	NA	NA	NA	NA	NA
unknown_Xanthobacteraceae	0	NA	NA	NA	NA	NA
Vagococcus	0	NA	NA	NA	NA	NA
Variovorax	0	NA	NA	NA	NA	NA
Vibrionimonas	0	NA	NA	NA	NA	NA
Vulcaniibacterium	0	NA	NA	NA	NA	NA
Williamsia	0	NA	NA	NA	NA	NA
