Leoben_Klagenfurt						
species	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Alkalilimnicola ehrlichii	15.982	0.878	1.279	0.687	0.492	0.635
Bacteroides sp. 3_2_5	0.411	2.074	3.029	0.685	0.494	0.636
Shewanella baltica	12.302	-0.758	1.134	-0.668	0.504	0.648
Bacteroides sp. 2_1_33B	0.386	2.022	3.03	0.667	0.505	0.648
Pseudoramibacter alactolyticus	0.385	2.016	3.03	0.665	0.506	0.649
Shewanella amazonensis	16.812	-0.576	0.869	-0.663	0.507	0.65
Vibrio metschnikovii	1.418	-0.817	1.242	-0.657	0.511	0.654
Shewanella violacea	0.28	-1.608	2.454	-0.655	0.512	0.655
Bacillus subtilis	2371.252	0.327	0.501	0.651	0.515	0.656
Pseudomonas mendocina	53.597	0.363	0.557	0.651	0.515	0.656
Idiomarina loihiensis	1.022	-1.013	1.553	-0.652	0.514	0.656
Pantoea ananatis	133.324	0.756	1.172	0.645	0.519	0.66
Erwinia amylovora	0.352	-1.55	2.407	-0.644	0.52	0.66
Heliobacterium modesticaldum	124.52	0.31	0.485	0.64	0.522	0.663
uncultured bacterium	0.435	-1.93	3.039	-0.635	0.525	0.666
Veillonella sp. 3_1_44	0.353	1.913	3.032	0.631	0.528	0.667
Planctomyces maris	0.353	1.913	3.032	0.631	0.528	0.667
Polaribacter sp. MED152	2.71	0.662	1.067	0.62	0.535	0.676
Escherichia sp. 1_1_43	0.299	-1.246	2.026	-0.615	0.539	0.678
Providencia stuartii	0.332	-1.884	3.056	-0.617	0.537	0.678
Ralstonia sp. 5_7_47FAA	122.051	-0.579	0.957	-0.605	0.545	0.685
Thermomicrobium roseum	35.901	0.832	1.374	0.605	0.545	0.685
Burkholderia oklahomensis	0.538	-1.721	2.857	-0.602	0.547	0.686
Thiomicrospira crunogena	1.52	0.821	1.374	0.598	0.55	0.688
Shewanella sp. MR-4	0.841	1.252	2.089	0.599	0.549	0.688
Clostridium hiranonis	0.424	1.436	2.421	0.593	0.553	0.691
Dehalococcoides sp. VS	0.334	-1.789	3.057	-0.585	0.558	0.697
Herminiimonas arsenicoxydans	35.949	0.708	1.225	0.579	0.563	0.7
Oligotropha carboxidovorans	1.224	0.839	1.446	0.58	0.562	0.7
Sulfurihydrogenibium sp. YO3AOP1	0.32	1.763	3.035	0.581	0.561	0.7
Raphidiopsis brookii	0.309	1.746	3.035	0.575	0.565	0.702
Micromonospora sp. ATCC 39149	0.397	1.427	2.491	0.573	0.567	0.703
Geodermatophilus obscurus	8.438	0.767	1.351	0.568	0.57	0.705
Yersinia ruckeri	0.301	-1.412	2.479	-0.57	0.569	0.705
Vibrio shilonii	0.203	-1.743	3.071	-0.567	0.57	0.705
Sphingobium japonicum	0.65	-1.33	2.365	-0.563	0.574	0.706
Burkholderia rhizoxinica	0.571	-0.856	1.516	-0.565	0.572	0.706
Verrucomicrobium spinosum	0.318	-1.727	3.059	-0.565	0.572	0.706
Acinetobacter sp. DR1	2.595	0.647	1.156	0.559	0.576	0.708
Pseudomonas stutzeri	75.075	0.295	0.53	0.556	0.578	0.709
Methylophaga thiooxydans	0.402	-1.096	1.971	-0.556	0.578	0.709
Legionella longbeachae	2.089	0.617	1.116	0.553	0.58	0.711
Frankia sp. EUN1f	0.513	-0.905	1.663	-0.544	0.586	0.718
Methylobacterium radiotolerans	1.608	0.583	1.077	0.541	0.588	0.719
Citrobacter youngae	0.497	-0.806	1.495	-0.539	0.59	0.72
Mycobacterium bovis	0.282	1.617	3.038	0.532	0.595	0.725
Laribacter hongkongensis	54.289	0.665	1.27	0.524	0.6	0.73
Eubacterium biforme	2.11	-0.782	1.496	-0.523	0.601	0.73
Dehalococcoides sp. CBDB1	0.276	1.597	3.039	0.525	0.599	0.73
Thermoanaerobacter brockii	31.164	-0.513	0.986	-0.52	0.603	0.732
Dethiosulfovibrio peptidovorans	1.056	1.233	2.425	0.509	0.611	0.74
Photobacterium sp. SKA34	0.493	-1.483	2.918	-0.508	0.611	0.74
Shewanella sediminis	17.501	0.584	1.153	0.506	0.613	0.741
Hoeflea phototrophica	1.511	0.95	1.882	0.505	0.614	0.741
Eubacterium cellulosolvens	0.418	1.524	3.031	0.503	0.615	0.742
Bacteroides sp. 2_1_7	0.258	1.523	3.04	0.501	0.616	0.743
Neisseria gonorrhoeae	11.118	0.76	1.532	0.496	0.62	0.746
Marivirga tractuosa	0.613	0.751	1.543	0.487	0.626	0.753
Thermotoga maritima	154.526	-0.225	0.465	-0.483	0.629	0.755
Arthrobacter chlorophenolicus	54.552	0.469	0.976	0.481	0.631	0.756
Dorea longicatena	0.238	1.428	3.043	0.469	0.639	0.765
Dokdonia donghaensis	1.542	-0.945	2.032	-0.465	0.642	0.768
Oceanicaulis sp. HTCC2633	0.624	-1.125	2.434	-0.462	0.644	0.769
Vibrio furnissii	0.346	-1.126	2.485	-0.453	0.65	0.775
Methylobacillus flagellatus	2.649	-0.483	1.065	-0.453	0.65	0.775
Eikenella corrodens	0.134	-1.372	3.077	-0.446	0.656	0.779
Shewanella benthica	0.115	-1.372	3.077	-0.446	0.656	0.779
Sinorhizobium meliloti	23.84	-0.525	1.196	-0.439	0.661	0.783
Polaribacter irgensii	0.716	-0.884	2.011	-0.44	0.66	0.783
Bacillus coahuilensis	1.616	0.487	1.104	0.441	0.659	0.783
Moritella sp. PE36	0.113	-1.342	3.078	-0.436	0.663	0.784
Acinetobacter calcoaceticus	0.424	-0.896	2.07	-0.433	0.665	0.786
Jonquetella anthropi	7.331	-0.689	1.6	-0.431	0.667	0.787
Veillonella atypica	0.187	-1.313	3.072	-0.427	0.669	0.788
Sanguibacter keddieii	69.261	0.335	0.784	0.427	0.669	0.788
Clostridium difficile	2735.65	0.186	0.439	0.423	0.673	0.789
Amycolatopsis mediterranei	0.567	-0.635	1.494	-0.425	0.671	0.789
Kosmotoga olearia	2.794	-0.846	2.003	-0.423	0.673	0.789
Bacteroides dorei	0.55	-0.996	2.425	-0.411	0.681	0.798
Dictyoglomus turgidum	5.354	0.623	1.517	0.41	0.682	0.798
Brucella abortus	0.603	-0.604	1.497	-0.403	0.687	0.803
candidate division TM7 single-cell isolate TM7c	2.029	-0.682	1.723	-0.396	0.692	0.808
Dyadobacter fermentans	4.322	0.421	1.069	0.394	0.693	0.808
Erwinia pyrifoliae	0.247	-1.002	2.543	-0.394	0.693	0.808
Brucella suis	0.949	0.495	1.281	0.387	0.699	0.814
Arthrobacter sp. FB24	790.076	-0.44	1.158	-0.38	0.704	0.819
Lactobacillus jensenii	7.473	-0.815	2.189	-0.372	0.71	0.823
Peptoniphilus duerdenii	2.56	0.532	1.423	0.374	0.709	0.823
Desulfobacterium autotrophicum	44.362	0.364	0.991	0.367	0.713	0.827
Aggregatibacter actinomycetemcomitans	4.76	-0.541	1.481	-0.365	0.715	0.827
Frankia sp. EAN1pec	3.59	0.466	1.285	0.363	0.717	0.828
Leptothrix cholodnii	5.342	0.381	1.066	0.358	0.721	0.832
Anoxybacillus flavithermus	437.657	0.222	0.625	0.355	0.723	0.834
Veillonella sp. oral taxon 158	0.293	1.037	3.042	0.341	0.733	0.845
Microcoleus chthonoplastes	1.315	0.707	2.112	0.335	0.738	0.848
marine gamma proteobacterium HTCC2143	0.153	-1.024	3.076	-0.333	0.739	0.848
Cardiobacterium hominis	0.138	-1.024	3.076	-0.333	0.739	0.848
Corynebacterium matruchotii	1.807	0.538	1.635	0.329	0.742	0.851
Clostridium scindens	0.148	-0.997	3.076	-0.324	0.746	0.854
uncultured Termite group 1 bacterium	0.188	-0.981	3.075	-0.319	0.75	0.858
Chloroflexus sp. Y-400-fl	16.348	-0.361	1.159	-0.312	0.755	0.861
Providencia rustigianii	0.17	-0.95	3.076	-0.309	0.757	0.861
Sphingopyxis alaskensis	7.662	0.286	0.942	0.304	0.761	0.861
Wolbachia endosymbiont of Drosophila melanogaster	0.09	-0.942	3.079	-0.306	0.76	0.861
Bacteroides sp. 3_1_19	0.049	-0.942	3.079	-0.306	0.76	0.861
Gordonia westfalica	0.065	-0.942	3.079	-0.306	0.76	0.861
Rickettsia canadensis	0.049	-0.942	3.079	-0.306	0.76	0.861
Ktedonobacter racemifer	0.419	0.925	3.034	0.305	0.76	0.861
Mycoplasma pulmonis	0.057	-0.942	3.079	-0.306	0.76	0.861
Rickettsia felis	0.049	-0.942	3.079	-0.306	0.76	0.861
Kytococcus sedentarius	4.717	-0.246	0.825	-0.298	0.765	0.863
Natranaerobius thermophilus	9.988	0.483	1.608	0.3	0.764	0.863
Aggregatibacter segnis	0.155	0.917	3.059	0.3	0.764	0.863
Alteromonas macleodii	15.463	-0.302	1.028	-0.294	0.769	0.866
Enhydrobacter aerosaccus	0.667	-0.498	1.712	-0.291	0.771	0.867
Eubacterium siraeum	0.3	0.878	3.047	0.288	0.773	0.869
Clostridium papyrosolvens	1.429	0.707	2.51	0.282	0.778	0.873
Thermotoga naphthophila	0.141	0.836	3.061	0.273	0.785	0.88
Shewanella putrefaciens	0.529	-0.803	3.024	-0.266	0.791	0.885
Corynebacterium jeikeium	234.2	-0.153	0.585	-0.262	0.794	0.888
Enterobacter cancerogenus	1.409	-0.319	1.252	-0.255	0.799	0.89
Xanthobacter autotrophicus	96.421	-0.161	0.636	-0.254	0.8	0.89
Dialister invisus	0.224	-0.648	2.55	-0.254	0.799	0.89
Shewanella frigidimarina	2.352	-0.32	1.264	-0.253	0.8	0.89
Chlorobium phaeovibrioides	0.225	-0.648	2.548	-0.254	0.799	0.89
Yersinia mollaretii	0.861	0.446	1.783	0.25	0.802	0.892
Hyphomonas neptunium	0.724	-0.366	1.521	-0.241	0.81	0.898
Thiomonas intermedia	1.019	-0.422	1.747	-0.242	0.809	0.898
Staphylococcus sciuri	0.521	0.717	3.026	0.237	0.813	0.899
Gallionella capsiferriformans	0.417	-0.406	1.717	-0.236	0.813	0.899
Rubrobacter xylanophilus	21.124	0.152	0.653	0.233	0.816	0.901
Micromonospora aurantiaca	0.269	0.706	3.052	0.231	0.817	0.902
Citrobacter sp. 30_2	0.668	0.475	2.127	0.223	0.823	0.907
Shewanella sp. MR-7	0.229	0.68	3.053	0.223	0.824	0.907
Actinomyces urogenitalis	0.961	0.299	1.351	0.221	0.825	0.907
Pantoea vagans	34.471	-0.273	1.304	-0.209	0.834	0.916
Flavobacteriaceae bacterium 3519-10	26.216	-0.168	0.808	-0.208	0.835	0.916
Roseomonas cervicalis	0.271	0.638	3.055	0.209	0.835	0.916
Candidatus Blochmannia floridanus	0.653	0.607	2.948	0.206	0.837	0.917
Ochrobactrum intermedium	0.669	0.344	1.73	0.199	0.842	0.92
Yersinia pseudotuberculosis	5.631	-0.21	1.084	-0.194	0.846	0.92
Thioalkalivibrio sp. HL-EbGR7	2.144	-0.238	1.214	-0.196	0.844	0.92
Thermoanaerobacter ethanolicus	0.113	-0.594	3.077	-0.193	0.847	0.92
Lactobacillus buchneri	0.138	0.608	3.067	0.198	0.843	0.92
Selenomonas flueggei	0.072	-0.594	3.077	-0.193	0.847	0.92
Clostridium lentocellum	0.215	-0.594	3.077	-0.193	0.847	0.92
Clostridium kluyveri	249.19	0.087	0.463	0.189	0.85	0.923
Cyanothece sp. CCY0110	44.795	0.27	1.503	0.18	0.858	0.925
Campylobacter concisus	0.628	-0.551	3.077	-0.179	0.858	0.925
Lawsonia intracellularis	0.096	-0.551	3.077	-0.179	0.858	0.925
Proteus penneri	0.094	-0.551	3.077	-0.179	0.858	0.925
Nitrobacter winogradskyi	0.347	-0.464	2.503	-0.185	0.853	0.925
Desulfovibrio sp. 3_1_syn3	0.135	-0.551	3.077	-0.179	0.858	0.925
Acidaminococcus sp. D21	0.227	0.437	2.586	0.169	0.866	0.933
Staphylococcus simulans	14.101	0.259	1.559	0.166	0.868	0.934
Escherichia albertii	0.19	-0.49	3.07	-0.16	0.873	0.938
Photobacterium damselae	0.334	-0.485	3.012	-0.161	0.872	0.938
Spirosoma linguale	32.435	0.21	1.346	0.156	0.876	0.94
Gramella forsetii	53.945	0.116	0.779	0.148	0.882	0.943
Beggiatoa sp. PS	0.923	-0.309	2.045	-0.151	0.88	0.943
Cyanothece sp. PCC 8801	0.324	0.383	2.546	0.15	0.881	0.943
Yersinia rohdei	0.093	0.434	3.07	0.141	0.888	0.947
Listeria ivanovii	0.094	0.434	3.07	0.141	0.888	0.947
Coprobacillus sp. D7	61.45	0.143	1.047	0.136	0.892	0.949
Nitrosomonas eutropha	3.26	-0.167	1.219	-0.137	0.891	0.949
Zunongwangia profunda	1.858	-0.126	0.911	-0.139	0.89	0.949
Yersinia bercovieri	0.792	-0.21	1.815	-0.115	0.908	0.965
Geobacillus thermoglucosidasius	238.952	0.065	0.62	0.105	0.916	0.968
Neisseria subflava	1.142	0.327	3.071	0.107	0.915	0.968
Vibrio mimicus	0.091	0.327	3.071	0.107	0.915	0.968
Oxalobacter formigenes	0.57	0.226	2.089	0.108	0.914	0.968
Bacteroides coprophilus	0.093	0.327	3.071	0.107	0.915	0.968
Actinobacillus pleuropneumoniae	103.572	-0.046	0.511	-0.09	0.928	0.977
Zymomonas mobilis	1.425	-0.097	1.055	-0.092	0.927	0.977
Wolinella succinogenes	0.25	-0.282	3.067	-0.092	0.927	0.977
Shewanella piezotolerans	0.114	-0.29	3.073	-0.094	0.925	0.977
Anaerotruncus colihominis	0.1	-0.269	3.073	-0.088	0.93	0.978
Pseudomonas syringae group genomosp. 3	61.011	0.045	0.557	0.081	0.936	0.981
Bacteroides sp. 4_3_47FAA	52.694	-0.111	1.377	-0.08	0.936	0.981
Sorangium cellulosum	4.025	-0.083	1.031	-0.081	0.935	0.981
Holdemania filiformis	223.991	-0.029	0.491	-0.06	0.952	0.982
Pelotomaculum thermopropionicum	37.765	0.062	0.952	0.065	0.948	0.982
Klebsiella sp. 1_1_55	0.136	-0.218	3.073	-0.071	0.943	0.982
Escherichia sp. 4_1_40B	0.899	0.12	1.608	0.075	0.94	0.982
Pasteurella multocida	40.421	-0.072	1.033	-0.07	0.944	0.982
Geobacter sulfurreducens	0.653	0.077	1.465	0.052	0.958	0.982
Peptoniphilus lacrimalis	0.059	-0.139	3.077	-0.045	0.964	0.982
Neisseria lactamica	0.146	-0.195	3.072	-0.063	0.95	0.982
Cyanothece sp. PCC 7425	0.691	-0.09	1.743	-0.051	0.959	0.982
Treponema pallidum	0.024	-0.182	3.077	-0.059	0.953	0.982
Prosthecochloris aestuarii	0.079	0.194	3.073	0.063	0.95	0.982
Neisseria mucosa	0.041	-0.139	3.077	-0.045	0.964	0.982
Clostridium butyricum	0.131	-0.195	3.072	-0.063	0.95	0.982
Fusobacterium sp. 7_1	0.052	0.143	3.073	0.046	0.963	0.982
Thermodesulfovibrio yellowstonii	0.052	0.143	3.073	0.046	0.963	0.982
Streptomyces sp. SPB78	0.837	-0.194	2.887	-0.067	0.946	0.982
Erythrobacter sp. NAP1	1.551	-0.107	2.159	-0.05	0.961	0.982
Thermoanaerobacter wiegelii	0.047	-0.139	3.077	-0.045	0.964	0.982
Arthrobacter nitroguajacolicus	0.056	-0.139	3.077	-0.045	0.964	0.982
Serratia entomophila	0.024	-0.182	3.077	-0.059	0.953	0.982
Ehrlichia ruminantium	0.047	-0.139	3.077	-0.045	0.964	0.982
Collinsella aerofaciens	0.936	0.11	1.525	0.072	0.942	0.982
Neisseria sicca	0.136	-0.218	3.073	-0.071	0.943	0.982
Thermotoga sp. RQ2	0.059	-0.139	3.077	-0.045	0.964	0.982
Campylobacter rectus	0.026	-0.155	3.077	-0.05	0.96	0.982
Silicibacter sp. TrichCH4B	0.822	0.131	2.992	0.044	0.965	0.982
Clostridium sp. L2-50	0.702	0.187	2.448	0.077	0.939	0.982
Prevotella copri	0.047	-0.139	3.077	-0.045	0.964	0.982
Anaplasma marginale	0.047	-0.139	3.077	-0.045	0.964	0.982
Pedobacter heparinus	21.077	0.048	1.189	0.04	0.968	0.984
Corynebacterium accolens	60.18	-0.039	1.04	-0.037	0.97	0.985
Pyramidobacter piscolens	0.047	0.102	3.074	0.033	0.974	0.987
Acinetobacter genomosp. 3	0.143	-0.085	3.071	-0.028	0.978	0.991
Actinobacillus minor	0.815	0.05	2.032	0.024	0.981	0.992
Veillonella sp. 6_1_27	0	0	0	0	1	1
Alkaliphilus metalliredigens	222.069	0.002	0.48	0.004	0.997	1
Shigella sp. D9	0	0	0	0	1	1
Megasphaera micronuciformis	0	0	0	0	1	1
Megasphaera genomosp. type_1	0.142	-0.044	3.071	-0.014	0.989	1
Desulfatibacillum alkenivorans	1.116	-0.014	1.577	-0.009	0.993	1
Fusobacterium sp. 3_1_36A2	0	0	0	0	1	1
Treponema vincentii	0	0	0	0	1	1
Gluconacetobacter hansenii	0	0	0	0	1	1
Mycobacterium sp. Spyr1	0	0	0	0	1	1
Vibrio tapetis	0	0	0	0	1	1
Actinomyces sp. oral taxon 180	0	0	0	0	1	1
Chlorobaculum parvum	0	NA	NA	NA	NA	NA
Synechococcus sp. WH 7803	0	NA	NA	NA	NA	NA
Dehalococcoides sp. BAV1	0	NA	NA	NA	NA	NA
Rickettsia typhi	0	NA	NA	NA	NA	NA
Fusobacterium sp. 2_1_31	0	NA	NA	NA	NA	NA
Fusobacterium periodonticum	0	NA	NA	NA	NA	NA
Thermotogales bacterium mesG1.Ag.4.2	0	NA	NA	NA	NA	NA
Onion yellows phytoplasma	0	NA	NA	NA	NA	NA
Fusobacterium sp. D11	0	NA	NA	NA	NA	NA
Blattabacterium sp. (Blattella germanica)	0	NA	NA	NA	NA	NA
Rickettsia prowazekii	0	NA	NA	NA	NA	NA
Campylobacter showae	0	NA	NA	NA	NA	NA
Proteus vulgaris	0	NA	NA	NA	NA	NA
