Features,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
candidate division TM7 single-cell isolate TM7a,20,0,4,0,221,6,2,0,0,2,2,0,70,0,1,15,1,0,3,0,0,1,782
Nitrobacter hamburgensis,162,39,170,142,4,124,96,8,6,6,17,54,0,9,34,17,46,5,20,27,81,61,1
Thiobacillus denitrificans,242,89,112,110,21,191,65,1,255,0,0,1,0,1,0,1,2,0,0,0,2,25,0
Maribacter sp. HTCC2170,4,4,0,2,62,3,0,65,2,19,46,54,35,95,98,56,80,80,127,112,89,74,2
Streptomyces griseus,197,113,162,144,4,113,99,1,0,4,0,1,16,2,35,3,109,1,2,0,0,97,0
Thermomonospora curvata,223,87,119,168,7,118,89,0,0,0,0,0,0,0,0,2,259,1,1,0,0,29,0
Xanthomonas campestris,125,157,99,177,79,36,72,6,5,12,6,6,44,21,14,9,20,3,25,29,31,108,15
Calditerrivibrio nitroreducens,0,0,0,0,0,0,0,77,10,87,58,50,26,75,61,40,92,55,116,116,96,134,1
Xylanimonas cellulosilytica,2,1,0,2,0,1,62,6,1,9,8,3,1,3,50,40,724,4,9,9,9,145,3
Aquifex aeolicus,0,0,2,1,0,1,0,3,1068,8,1,0,1,4,0,0,0,1,0,0,0,0,0
Corynebacterium glucuronolyticum,2,2,0,1,0,1,4,0,0,0,0,0,0,0,5,9,2,0,19,3,6,1029,0
Coprothermobacter proteolyticus,0,1,1,2,0,2,1,91,20,35,58,51,17,11,157,53,82,105,156,1,127,106,0
Anaeromyxobacter dehalogenans,162,22,148,187,0,129,83,0,289,0,1,0,0,0,0,0,13,2,1,0,0,29,1
Delftia acidovorans,32,2,11,60,0,4,12,16,27,89,14,44,63,42,6,67,73,60,114,60,105,154,10
Propionibacterium freudenreichii,227,126,150,195,4,170,115,1,14,3,0,0,1,1,0,4,6,0,2,0,6,38,0
Butyrivibrio crossotus,0,1,0,0,0,0,0,132,12,34,100,8,21,11,17,56,42,56,51,212,191,114,1
Caldicellulosiruptor bescii,3,4,1,0,0,0,2,53,455,38,39,21,10,37,102,28,40,17,60,17,57,69,2
Psychromonas ingrahamii,24,123,78,129,0,134,0,13,70,22,4,32,23,32,36,52,21,10,85,85,74,5,2
Frankia sp. EuI1c,220,110,51,273,7,239,108,0,3,0,0,0,0,0,0,2,3,0,0,1,0,31,1
Synechococcus sp. RCC307,164,100,195,263,5,186,131,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Synechococcus sp. JA-3-3Ab,192,111,167,137,5,218,73,0,104,1,2,2,1,0,4,17,1,2,0,6,2,3,0
Magnetospirillum magnetotacticum,152,100,144,147,29,129,72,0,0,0,1,0,86,0,1,0,156,1,9,1,0,19,0
Streptosporangium roseum,47,125,75,68,3,119,88,0,46,0,0,0,10,0,0,5,280,0,2,0,4,169,0
Geobacter sp. M21,42,1,83,97,2,40,60,47,72,45,41,18,26,41,69,37,70,40,10,72,87,37,0
Methylobacterium extorquens,170,128,141,157,56,152,94,3,1,1,1,1,8,2,15,3,6,3,9,4,5,76,0
Xanthomonas axonopodis,132,85,69,169,7,143,109,5,82,25,23,6,13,13,5,6,31,4,33,10,15,47,1
Desulfotalea psychrophila,70,81,29,64,2,73,80,1,573,12,1,1,1,4,0,0,19,0,1,1,3,16,0
Kytococcus sedentarius,25,4,1,2,0,1,3,2,0,0,0,1,0,0,0,12,503,3,9,3,8,454,0
Burkholderia phymatum,146,98,121,221,23,143,58,3,150,1,3,1,29,1,0,5,3,2,0,1,5,10,4
Anaerostipes caccae,123,169,97,183,7,270,134,0,0,0,0,0,24,0,0,0,0,0,18,0,0,1,0
Cellvibrio japonicus,2,0,2,2,0,1,0,79,11,46,80,82,48,91,103,49,90,30,102,131,5,68,1
Saccharomonospora viridis,28,96,112,130,2,96,22,0,0,1,1,0,1,0,1,7,274,2,4,2,1,243,0
Vibrio sp. RC586,0,0,0,0,0,0,0,98,0,38,78,94,17,36,153,78,82,13,141,0,101,79,0
Caldicellulosiruptor owensensis,20,18,13,6,0,13,7,123,1,77,42,116,21,63,79,38,29,21,114,71,61,64,0
Bacteroides sp. 20_3,1,2,1,0,0,0,1,53,45,10,58,43,17,94,5,53,71,80,136,115,121,81,9
Burkholderia vietnamiensis,245,6,114,39,94,228,1,1,154,3,6,1,39,1,7,17,4,11,4,0,5,7,5
Paenibacillus curdlanolyticus,112,171,104,172,7,286,113,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0
Geobacter sp. FRC-32,1,0,1,1,0,0,5,34,13,63,113,77,31,45,84,61,42,71,155,30,60,74,2
Campylobacter hominis,70,106,132,172,2,107,105,0,212,0,1,0,0,0,1,2,2,0,0,0,12,34,0
Candidatus Koribacter versatilis,152,96,121,153,12,102,82,0,82,1,2,10,1,1,67,0,7,0,11,4,34,19,0
Starkeya novella,23,68,1,155,30,4,1,82,4,87,45,31,50,54,42,1,60,0,84,54,31,50,0
Trichodesmium erythraeum,19,5,21,6,3,42,2,0,484,7,25,75,18,108,124,0,11,0,0,0,0,5,0
Bacteroides pectinophilus,263,79,155,217,9,136,93,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Achromobacter xylosoxidans,87,75,64,277,27,148,40,0,160,0,0,2,25,1,3,0,1,1,4,2,8,23,0
Chlorobium chlorochromatii,107,138,99,168,6,125,71,1,33,0,0,1,18,3,0,0,4,0,1,80,80,3,0
Anabaena variabilis,11,5,12,15,1,23,14,48,175,28,48,63,14,69,80,16,26,4,96,82,38,60,0
Burkholderia pseudomallei,25,7,4,45,4,8,5,60,147,21,27,33,25,114,42,88,116,0,37,37,45,31,7
Tsukamurella paurometabola,0,0,0,6,0,0,2,2,1,3,0,2,0,1,1,15,217,1,15,2,5,653,0
Mobiluncus mulieris,178,107,110,131,8,140,107,0,0,0,0,0,0,0,0,4,85,0,0,0,4,47,0
Pirellula staleyi,63,55,71,51,3,87,34,25,0,23,22,29,5,60,66,16,49,20,47,48,62,83,0
Victivallis vadensis,251,152,202,93,5,156,49,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Leptotrichia hofstadii,0,0,0,0,0,0,1,68,14,55,62,59,27,125,106,66,0,0,144,31,140,4,0
Yersinia intermedia,1,0,2,7,367,1,1,1,16,0,0,0,493,1,1,0,0,0,0,0,1,1,0
Azoarcus sp. BH72,13,142,186,42,1,4,54,6,154,17,2,3,8,1,97,12,52,1,44,8,7,28,2
Campylobacter concisus,0,0,0,0,0,0,1,0,874,1,0,0,0,4,0,0,0,0,0,0,0,0,1
Halomonas elongata,18,3,3,10,1,2,2,51,8,64,30,22,26,56,60,45,73,91,59,20,151,85,0
Thermotoga neapolitana,0,0,0,2,0,0,0,160,13,92,98,36,34,12,111,40,23,17,3,109,13,116,0
Erysipelotrichaceae bacterium 3_1_53,6,207,140,185,3,18,291,0,1,0,0,0,23,2,0,0,1,0,0,0,0,0,0
Caldicellulosiruptor hydrothermalis,1,3,0,1,0,0,0,36,8,88,145,10,1,85,89,67,82,4,61,10,86,94,3
Tetragenococcus halophilus,0,0,0,0,0,0,0,6,0,86,12,95,5,96,91,127,8,5,4,160,10,157,2
Candidatus Desulforudis audaxviator,1,0,0,0,0,1,0,35,346,27,28,20,20,44,8,36,67,15,35,60,45,73,0
Yersinia frederiksenii,2,0,1,4,157,1,0,4,0,0,0,0,677,1,0,0,1,0,1,0,2,0,1
Cytophaga hutchinsonii,106,76,137,76,1,181,86,0,40,1,1,2,1,81,0,0,21,0,4,1,7,25,0
Synechococcus sp. JA-2-3B'a(2-13),265,89,62,189,8,51,95,0,56,1,1,1,1,0,1,8,15,0,0,0,1,1,0
Rubrobacter xylanophilus,13,17,34,16,190,5,26,31,139,6,1,39,24,7,3,49,52,1,55,59,35,38,0
Syntrophothermus lipocalidus,0,1,1,0,0,0,0,54,4,127,68,41,20,45,270,8,1,1,131,47,11,8,0
Bacteroides ovatus,238,116,102,105,9,146,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
Streptococcus sp. M143,0,0,0,0,1,0,0,18,86,0,0,0,0,0,2,28,135,76,72,83,15,314,0
Helicobacter hepaticus,128,138,117,98,4,76,72,0,152,5,0,8,0,0,1,0,0,0,0,0,2,24,0
Lactobacillus hilgardii,0,0,0,0,0,0,0,81,3,108,31,81,42,58,36,4,26,32,112,95,58,58,0
Acidiphilium cryptum,67,67,99,113,9,76,45,16,10,0,1,20,2,0,103,0,21,0,22,123,1,23,1
Deinococcus geothermalis,6,29,23,108,74,110,40,24,173,1,9,0,8,22,36,21,24,0,1,1,0,104,0
Shewanella putrefaciens,0,0,0,6,720,0,1,0,64,4,1,0,6,0,0,0,7,0,0,0,0,0,0
Pseudomonas syringae,46,13,27,39,1,27,29,40,122,19,5,10,73,60,15,7,21,8,15,9,69,144,2
Lactobacillus ultunensis,9,41,2,14,0,3,181,124,12,2,12,68,0,91,17,14,9,76,30,8,72,13,0
Shewanella denitrificans,139,63,100,150,24,113,75,0,75,0,0,0,11,0,0,0,44,0,0,0,1,0,0
Chitinophaga pinensis,10,8,1,2,1,3,0,9,4,41,44,7,12,89,25,18,48,30,118,43,113,166,0
Spirosoma linguale,2,4,22,7,49,25,0,0,35,55,71,0,28,65,1,80,81,0,139,0,106,18,0
Asticcacaulis excentricus,0,0,0,14,0,1,1,37,7,100,113,95,12,81,34,50,5,24,39,109,35,26,2
Maricaulis maris,137,55,129,193,5,104,78,0,69,0,0,0,0,1,0,0,10,0,0,0,0,3,1
Granulicatella adiacens,13,7,7,4,0,23,6,9,4,55,39,65,17,110,75,50,27,20,125,6,22,96,0
Vibrio splendidus,118,6,11,18,40,28,41,2,4,18,13,12,30,51,44,24,63,36,32,33,100,53,2
Vibrio alginolyticus,7,3,2,0,0,5,2,32,25,63,52,1,40,8,96,37,49,46,201,0,0,91,1
Mycobacterium ulcerans,69,13,96,117,0,20,51,0,15,1,0,0,0,0,0,2,149,0,1,0,0,214,0
Alkalilimnicola ehrlichii,3,2,2,18,4,0,52,65,65,50,3,0,30,43,115,0,107,67,0,73,1,47,0
Bacteroides sp. 2_1_16,2,2,0,1,0,1,0,3,89,51,137,19,2,24,156,108,30,18,77,7,12,3,0
Vibrio vulnificus,1,1,0,3,69,1,0,7,198,7,9,9,141,50,52,2,14,3,23,26,72,43,1
Pelobacter propionicus,5,1,1,3,0,0,1,1,672,17,0,3,10,0,1,1,6,0,0,0,0,5,0
Janibacter sp. HTCC2649,5,0,0,3,0,4,3,3,0,0,1,0,0,1,1,3,525,0,4,0,6,166,1
Paludibacter propionicigenes,100,33,23,38,1,82,70,0,2,1,20,9,1,11,3,43,4,1,142,9,2,128,2
Anaeromyxobacter sp. K,0,20,0,9,0,63,4,108,3,79,9,66,1,11,0,6,55,30,141,22,10,84,2
Geobacter bemidjiensis,240,0,167,100,5,99,62,1,45,0,0,0,0,0,0,0,1,0,0,0,0,3,0
Corynebacterium genitalium,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3,24,0,0,12,4,14,655,0
Roseovarius sp. 217,199,44,121,172,5,72,74,0,0,2,0,0,9,2,0,0,0,0,0,1,0,2,0
Flavobacteriaceae bacterium 3519-10,51,46,9,24,1,23,25,5,1,36,34,6,14,47,8,65,11,4,34,6,52,198,0
Actinomyces viscosus,127,98,3,165,2,183,103,0,0,0,0,0,4,0,0,1,6,0,0,0,1,1,0
Elusimicrobium minutum,0,0,0,0,0,0,0,7,47,1,30,48,3,68,60,52,89,33,123,79,21,26,2
Rhodospirillum rubrum,1,49,0,194,63,0,15,13,240,27,0,0,42,4,25,1,6,0,0,0,3,6,0
Cupriavidus necator,67,7,58,74,63,19,7,5,171,5,5,2,83,7,6,6,15,1,6,7,18,44,7
Aminobacterium colombiense,0,0,0,2,0,0,1,15,2,22,30,36,3,102,115,15,24,78,33,3,150,46,1
Desulfotomaculum acetoxidans,2,5,21,2,0,4,31,36,194,7,5,0,4,9,40,74,6,60,71,1,70,31,1
Staphylococcus sp. 693-2,1,0,0,0,0,0,2,77,7,57,105,1,40,126,122,52,14,2,18,8,33,4,0
Chryseobacterium gleum,101,77,22,63,1,48,23,3,0,8,1,5,3,14,16,8,2,6,23,15,94,133,1
Vibrio furnissii,1,0,0,4,616,0,0,0,0,0,0,0,33,0,0,0,0,0,0,1,0,2,0
Acidovorax citrulli,37,21,32,32,122,16,15,1,181,1,2,2,84,0,49,2,29,1,5,2,3,19,0
Burkholderia ambifaria,114,3,28,59,211,45,4,2,19,1,3,0,111,4,2,0,22,0,5,1,2,17,3
Cyanothece sp. ATCC 51142,122,59,76,125,0,34,52,1,24,32,26,1,24,1,36,0,1,14,0,0,15,0,0
Shewanella sediminis,1,0,1,3,26,0,24,9,7,36,56,50,28,33,103,4,12,17,60,80,51,40,0
Brevibacterium mcbrellneri,0,0,0,0,0,1,14,0,0,0,0,0,0,0,1,21,18,0,7,1,8,556,0
Staphylococcus simulans,0,0,0,0,1,0,101,7,2,60,0,2,10,15,159,25,52,1,9,16,16,149,0
Burkholderia phytofirmans,8,0,9,24,28,0,7,19,3,76,0,1,4,12,43,67,0,33,147,1,103,39,0
Brucella ceti,60,68,46,410,0,19,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Porphyromonas gingivalis,117,95,52,44,6,44,57,0,191,0,0,0,0,2,0,0,0,0,0,0,0,10,0
Faecalibacterium prausnitzii,51,1,60,51,5,42,33,0,348,2,0,0,0,1,0,0,18,0,2,0,0,3,0
Thermincola potens,3,1,3,0,0,0,12,4,8,74,83,2,28,88,3,3,67,100,11,57,61,9,0
Synechococcus sp. CC9605,132,60,137,69,1,131,46,1,29,0,0,0,0,0,0,1,8,0,0,1,0,0,0
Chloroflexus aggregans,9,1,4,26,1,7,0,0,5,32,4,7,0,2,159,32,9,25,243,3,4,41,0
Abiotrophia defectiva,0,0,0,0,0,1,1,62,19,0,72,29,19,70,59,31,0,46,0,69,66,69,0
Synechococcus elongatus,97,47,2,0,0,16,48,72,195,30,2,4,11,0,6,0,17,0,1,60,2,1,0
Mycobacterium abscessus,94,39,83,110,2,83,68,0,0,0,0,0,1,0,0,1,24,2,3,1,0,95,1
Nautilia profundicola,0,0,0,0,0,1,0,0,52,0,46,55,21,0,97,38,61,45,0,63,60,59,4
Bacillus mycoides,60,58,39,59,6,100,51,10,14,1,1,44,5,20,19,31,0,1,0,65,2,12,0
Shewanella amazonensis,73,0,24,1,2,22,10,6,18,54,4,7,95,36,51,10,22,6,17,8,45,84,1
Psychrobacter sp. PRwf-1,50,31,54,124,3,46,19,2,126,6,8,2,6,1,1,2,15,1,21,4,5,52,2
Leadbetterella byssophila,19,11,1,4,0,4,3,2,5,1,20,34,51,5,100,2,114,6,2,3,59,132,0
Providencia rettgeri,1,0,0,0,15,0,0,0,0,0,0,0,557,0,0,0,0,0,0,0,0,3,0
Burkholderia sp. 383,62,21,9,84,91,12,13,4,42,2,3,1,101,1,3,3,3,1,3,1,7,102,5
Caulobacter vibrioides,135,4,60,89,2,33,57,1,96,5,4,1,19,23,2,2,6,3,3,2,2,17,0
Syntrophus aciditrophicus,7,3,0,9,39,5,5,1,388,6,43,1,4,2,1,1,1,0,35,1,1,6,0
Prochlorococcus marinus,69,61,80,25,15,18,23,16,178,6,0,4,2,0,1,1,15,3,0,0,0,41,0
Gluconobacter oxydans,18,0,0,35,1,0,0,27,55,34,21,33,28,0,0,9,4,42,111,1,88,44,0
Acidithiobacillus ferrooxidans,3,0,2,2,1,0,0,7,4,59,77,5,40,37,76,29,41,14,59,5,42,43,0
Jannaschia sp. CCS1,43,60,81,154,0,2,40,0,133,1,0,0,13,0,0,0,0,0,0,0,0,16,0
Bartonella henselae,1,0,0,112,0,0,0,61,123,5,36,12,4,32,41,8,10,22,2,69,1,3,0
Pedobacter heparinus,91,13,3,35,1,3,3,4,0,6,48,1,24,4,1,38,66,0,0,4,120,72,0
Aggregatibacter actinomycetemcomitans,1,0,0,0,14,0,1,15,405,4,6,3,21,1,10,14,11,1,0,2,8,16,0
Yersinia mollaretii,1,1,0,4,324,0,0,0,2,0,0,0,175,0,0,0,15,0,0,0,1,3,0
Helicobacter felis,0,0,0,0,1,0,0,2,1,13,0,41,24,0,2,99,111,4,5,1,129,88,4
Bacteroides capillosus,112,105,51,80,3,120,49,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Acinetobacter sp. ADP1,85,37,8,48,63,94,9,1,4,2,1,1,68,3,1,0,42,0,5,0,13,32,0
Acinetobacter sp. DR1,4,0,1,2,396,5,2,0,2,0,0,0,69,0,0,11,1,0,16,0,4,4,0
Bordetella parapertussis,63,44,78,147,0,89,18,0,31,1,0,1,23,1,0,1,3,1,0,1,2,3,0
Cyanothece sp. PCC 8802,1,51,26,52,0,19,5,1,167,8,0,14,2,8,0,27,45,1,11,18,41,10,0
Gemella haemolysans,3,1,0,0,0,0,1,11,5,10,6,22,14,48,39,8,39,35,132,49,42,42,0
Shigella sp. D9,0,0,0,0,428,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0
Stackebrandtia nassauensis,0,0,0,5,0,0,0,5,3,16,57,2,2,4,1,3,152,2,147,1,5,101,0
Dinoroseobacter shibae,9,38,51,94,247,4,0,0,20,1,1,0,0,1,0,6,0,0,2,1,2,16,12
Borrelia burgdorferi,0,0,0,0,0,0,0,63,0,4,0,47,7,62,68,10,19,6,72,107,20,19,0
Roseobacter denitrificans,75,9,19,168,79,22,30,0,68,0,1,0,19,0,0,0,5,0,1,1,0,6,0
Rhodococcus equi,2,0,0,24,0,0,1,55,4,21,6,9,9,18,37,2,10,9,53,1,61,171,1
Corynebacterium ammoniagenes,0,0,1,3,0,0,2,0,0,0,0,0,0,1,0,13,0,1,11,2,5,449,0
Zymomonas mobilis,1,0,2,205,0,1,2,0,119,0,1,0,16,1,1,0,126,1,1,0,1,6,1
Akkermansia muciniphila,0,1,0,0,2,0,0,137,51,33,18,39,10,108,43,6,1,1,4,5,1,22,0
Brucella microti,0,0,0,303,0,0,0,9,0,0,7,12,2,15,3,46,70,0,0,0,15,0,0
Natranaerobius thermophilus,21,4,14,6,1,5,0,1,303,0,1,2,1,1,0,0,0,94,0,0,1,24,0
Azorhizobium caulinodans,1,5,1,189,1,2,0,3,28,1,0,26,2,53,43,0,31,0,9,59,18,4,0
Comamonas testosteroni,60,1,74,9,0,132,43,1,71,29,26,1,12,1,0,0,3,0,1,0,3,6,0
Streptomyces viridochromogenes,122,31,106,74,3,84,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Xanthomonas euvesicatoria,59,16,28,45,104,19,13,5,0,6,1,2,13,10,5,6,46,6,12,6,13,55,2
Geobacter sulfurreducens,1,1,0,3,0,0,0,1,428,0,1,2,23,0,1,2,1,0,3,0,0,3,0
Roseobacter sp. MED193,60,0,71,71,75,131,42,0,0,12,0,0,2,0,0,0,0,0,1,0,0,1,0
Ruminococcus sp. 5_1_39BFAA,0,0,50,0,1,135,0,0,3,5,0,6,1,115,38,0,8,2,20,1,53,28,0
Cryptobacterium curtum,0,0,0,0,1,1,0,0,275,1,0,3,5,1,0,29,12,6,0,0,67,64,0
Brachyspira murdochii,172,85,0,59,0,0,15,2,50,22,4,6,7,2,14,2,1,0,7,0,4,12,0
Streptococcus parasanguinis,0,0,0,1,0,0,18,10,8,73,1,3,18,6,41,14,17,13,19,18,1,193,0
Geodermatophilus obscurus,0,21,1,3,0,0,11,0,0,0,2,0,4,0,1,4,181,1,6,1,2,214,0
Alteromonas macleodii,3,2,1,11,28,4,27,16,3,0,3,58,47,92,2,19,8,57,1,54,2,13,0
Corynebacterium lipophiloflavum,3,0,0,0,0,0,1,0,1,0,0,0,0,0,1,11,0,0,12,0,3,418,1
Burkholderia xenovorans,61,4,91,72,45,13,40,3,2,15,2,1,26,2,3,1,5,2,2,2,11,42,3
Denitrovibrio acetiphilus,2,0,3,6,36,0,0,1,130,19,14,61,72,14,14,0,38,8,2,6,3,17,1
Intrasporangium calvum,31,62,66,92,3,78,24,1,0,0,0,0,0,0,0,0,4,0,4,4,1,72,1
Coprococcus comes,45,122,32,64,7,129,30,0,1,0,0,0,6,0,0,0,0,0,1,0,0,2,0
Haemophilus ducreyi,1,0,0,0,36,0,0,1,179,23,7,0,10,0,0,1,28,26,1,104,2,19,1
Prevotella ruminicola,0,0,0,1,1,0,0,38,1,11,0,41,9,67,29,19,28,26,64,2,25,74,0
Halorhodospira halophila,32,8,53,51,16,29,45,2,138,26,2,2,0,1,0,0,18,2,3,2,3,2,0
Streptomyces sp. ACT-1,1,0,1,0,0,1,1,1,8,0,97,0,22,68,4,2,120,79,3,0,4,21,0
Sinorhizobium fredii,15,3,5,212,10,3,53,7,1,5,7,13,20,11,29,1,1,8,3,9,2,4,1
Atopobium rimae,0,0,1,0,0,0,0,64,1,10,33,40,21,16,90,1,1,1,6,25,73,38,0
Thermobispora bispora,1,0,0,4,1,1,2,0,0,2,9,2,2,1,1,4,249,5,10,1,5,113,7
Photorhabdus asymbiotica,0,4,8,9,230,23,3,0,0,1,0,0,119,1,0,0,14,0,0,0,0,3,0
Ammonifex degensii,0,0,0,0,0,1,0,0,88,27,7,1,9,20,4,43,19,1,63,17,34,74,0
Agrobacterium vitis,0,1,1,308,19,1,0,1,1,2,0,1,35,0,2,0,15,1,1,0,6,7,1
Chloroflexus sp. Y-400-fl,89,10,2,5,8,0,1,1,1,4,0,1,17,2,80,32,28,1,93,14,1,8,0
Mycoplasma arthritidis,0,0,0,0,0,0,0,10,0,9,1,13,6,2,44,1,26,13,102,42,110,19,0
Eubacterium ventriosum,0,0,0,0,0,0,8,1,8,0,91,0,46,1,72,1,0,20,0,2,0,128,18
Burkholderia multivorans,13,20,17,134,2,2,3,0,61,3,0,1,57,3,3,2,42,0,8,0,3,14,3
Burkholderia thailandensis,12,5,5,22,7,1,5,1,244,3,1,2,8,37,7,0,5,0,2,0,4,15,5
Bordetella petrii,91,10,61,33,94,23,28,0,20,1,0,0,18,1,0,0,1,1,0,0,1,6,0
Sphaerobacter thermophilus,53,1,0,16,0,62,0,65,14,0,0,0,15,0,1,9,19,0,0,0,1,133,0
Peptostreptococcus stomatis,55,132,56,76,2,3,42,0,16,0,0,0,0,0,0,1,0,0,0,0,1,4,0
Burkholderia oklahomensis,0,0,0,2,2,0,353,0,1,0,0,1,16,1,6,0,0,1,0,0,0,0,0
Pseudomonas entomophila,47,6,11,61,3,2,8,3,91,7,2,2,69,5,6,2,17,3,7,2,13,15,1
Rhodococcus erythropolis,2,0,3,7,0,0,1,0,28,0,0,0,8,0,1,6,81,0,4,0,6,236,0
Listeria grayi,1,0,0,1,0,0,8,39,1,27,13,8,16,32,53,38,31,1,23,44,9,37,0
Spirochaeta thermophila,0,0,0,0,0,0,0,49,0,0,22,2,12,1,6,12,53,0,76,83,41,23,1
Synechocystis sp. PCC 6803,2,53,55,1,0,1,14,2,180,4,1,2,11,1,1,1,17,1,1,0,0,30,1
candidate division TM7 single-cell isolate TM7c,10,1,2,0,78,4,0,0,0,0,2,0,53,1,1,13,1,0,1,0,0,0,209
Ruegeria sp. TM1040,116,0,74,48,0,33,67,0,0,0,2,0,6,1,0,0,26,0,0,0,1,1,1
Mobiluncus curtisii,39,10,61,22,2,22,10,0,0,0,0,1,0,2,2,4,40,0,3,1,7,148,0
Deferribacter desulfuricans,30,46,17,49,0,61,28,5,3,16,7,1,3,0,51,14,1,21,0,0,19,0,1
Burkholderia sp. CCGE1002,26,28,104,38,0,97,44,0,0,2,1,0,21,0,0,0,2,0,1,0,0,6,0
Vibrio sp. Ex25,3,1,1,0,1,1,13,0,36,0,0,37,39,80,0,0,0,0,0,55,56,46,0
Chlorobaculum tepidum,13,17,19,114,0,14,10,0,175,1,0,0,1,0,0,2,0,0,0,0,0,1,0
Helicobacter mustelae,51,31,32,42,3,36,23,0,117,0,0,0,0,1,0,0,24,0,0,5,1,0,0
Colwellia psychrerythraea,155,2,3,6,8,9,3,1,98,5,11,1,23,0,0,2,31,1,0,1,1,3,1
Lactobacillus iners,5,3,0,0,0,0,35,3,102,15,13,15,12,9,6,28,50,17,3,7,10,32,0
Haemophilus parasuis,100,0,54,1,88,0,0,1,58,5,5,1,9,11,18,0,7,1,0,1,1,0,0
Shewanella oneidensis,0,25,14,2,52,0,106,0,56,3,0,0,84,2,0,0,13,0,0,0,1,1,0
Bdellovibrio bacteriovorus,2,3,0,59,0,0,0,8,72,94,0,0,14,1,1,18,76,0,5,1,0,1,0
Novosphingobium aromaticivorans,5,0,5,10,105,1,22,0,132,0,0,0,4,3,2,1,4,0,2,0,0,59,0
Arcobacter butzleri,0,0,0,4,2,27,0,1,305,0,0,0,5,0,1,0,0,1,0,0,0,0,0
Mycobacterium marinum,1,0,1,3,0,2,2,0,0,1,1,0,0,0,0,3,106,1,2,0,1,222,0
Neisseria gonorrhoeae,1,0,0,0,15,0,13,4,192,3,4,5,11,3,9,6,55,0,7,1,1,6,9
Synechococcus sp. CC9902,47,32,12,111,1,13,49,0,71,0,0,0,0,0,0,0,7,0,0,0,0,1,0
Methylobacterium sp. 4-46,18,53,17,141,1,18,50,0,0,12,0,0,13,1,1,3,4,0,2,0,3,5,0
Sulfurovum sp. NBC37-1,0,0,0,1,0,0,0,67,34,0,6,52,0,8,76,1,2,10,79,0,2,1,0
Caldicellulosiruptor obsidiansis,0,0,1,0,0,0,0,14,1,32,35,4,18,59,9,26,33,39,4,42,12,5,0
Salinispora arenicola,3,1,1,2,0,0,1,0,1,24,0,0,0,1,0,0,148,1,3,0,0,148,0
Aggregatibacter segnis,0,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,6,0,0,0,0,0,0
Parabacteroides sp. D13,2,1,0,1,0,2,0,0,2,27,8,9,0,66,28,34,14,9,66,0,31,26,5
Persephonella marina,0,0,0,0,1,0,119,21,168,2,2,0,0,3,1,0,1,0,1,3,0,7,0
Wolinella succinogenes,0,0,1,0,0,0,1,0,316,0,1,0,4,0,0,0,4,0,0,0,0,0,0
Xenorhabdus nematophila,1,0,0,0,238,0,0,0,1,0,0,0,61,4,1,0,0,0,3,1,1,13,0
Streptococcus infantarius,136,60,0,0,2,0,64,1,0,2,0,2,0,2,8,0,3,1,1,3,2,36,0
Lawsonia intracellularis,0,0,0,1,0,0,0,0,307,0,0,0,13,0,0,0,0,0,0,0,1,0,0
Brachyspira pilosicoli,0,0,0,1,0,0,0,1,33,66,9,18,25,2,14,3,40,1,22,56,11,17,1
Vibrio harveyi,3,36,2,5,2,0,1,0,139,0,0,0,40,1,2,0,3,0,3,0,0,81,0
Granulibacter bethesdensis,3,20,27,112,0,66,0,0,40,1,0,0,6,3,0,0,35,1,0,0,0,2,0
Agrobacterium rhizogenes,94,32,48,79,1,27,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bordetella pertussis,89,11,62,7,0,21,4,0,94,2,0,1,0,2,0,1,13,0,1,0,1,3,0
Meiothermus ruber,1,0,1,10,0,0,0,1,2,0,75,1,0,3,37,34,30,0,0,0,5,110,0
Actinomyces sp. oral taxon 848,1,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,27,0
Pseudoalteromonas haloplanktis,1,1,1,15,42,0,37,3,115,14,2,8,2,29,12,1,0,2,14,0,6,2,1
Caulobacter sp. K31,19,1,2,28,1,0,54,2,171,1,0,0,7,0,1,1,1,5,0,0,0,11,1
Yersinia kristensenii,2,0,0,2,122,1,0,0,0,0,0,1,175,0,0,0,0,0,1,0,1,1,0
Azotobacter vinelandii,54,17,4,17,14,15,18,1,28,1,2,3,64,1,3,0,0,0,5,3,21,31,0
Bartonella quintana,237,0,0,47,0,0,1,1,0,2,0,0,1,0,0,0,13,0,0,0,0,0,0
